,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.792100502763327,0.027023856345108403,"676,933,388,938,803,391,110,189,668,509,92,6,173,129,448,167,461,221,753,860","0.12,0.115,0.113,0.111,0.108,0.103,0.099,0.095,0.094,0.093,0.093,0.092,0.091,0.091,0.091,0.091,0.09,0.086,0.085,0.085"
1,fechner,0.8024822119922985,0.017077233728882237,"933,388,676,938,110,92,189,753,836,173,803,167,322,757,391,417,461,766,642,879","0.425,0.418,0.409,0.404,0.402,0.393,0.393,0.381,0.365,0.362,0.358,0.352,0.344,0.343,0.337,0.326,0.323,0.319,0.309,0.302"
2,spearman,0.8016201537815372,0.017869193469645345,"933,938,388,676,110,92,189,803,173,753,391,836,167,461,322,757,417,668,726,642","0.494,0.482,0.481,0.469,0.462,0.455,0.448,0.431,0.427,0.421,0.418,0.418,0.409,0.393,0.386,0.381,0.369,0.353,0.352,0.347"
3,pearson,0.8050758719346615,0.01423615274349411,"933,388,676,938,110,189,92,753,803,167,836,173,391,461,757,322,417,726,766,668","0.464,0.46,0.442,0.442,0.432,0.427,0.427,0.408,0.404,0.398,0.397,0.396,0.389,0.372,0.37,0.368,0.348,0.339,0.339,0.331"
4,igain,0.7947037272685689,0.02040918483749025,"388,933,676,938,110,92,189,173,803,753,836,167,391,322,757,461,417,642,766,177","0.174,0.173,0.167,0.163,0.157,0.152,0.15,0.141,0.14,0.138,0.135,0.131,0.13,0.127,0.121,0.119,0.112,0.109,0.107,0.105"
5,gini,0.7932594782738875,0.02060980205132183,"933,388,676,938,110,92,189,173,753,836,803,167,322,391,757,461,417,642,766,879","0.148,0.148,0.139,0.139,0.136,0.133,0.13,0.121,0.12,0.118,0.116,0.113,0.11,0.109,0.107,0.1,0.098,0.096,0.093,0.092"
6,chi2,0.7984488774114135,0.021732411160043152,"933,388,676,938,110,92,189,173,753,836,803,167,322,391,757,461,417,642,766,879","1.0,1.0,0.937,0.936,0.915,0.895,0.872,0.812,0.8,0.792,0.775,0.752,0.737,0.727,0.715,0.665,0.653,0.636,0.619,0.607"
7,reliefF,0.7975843240972924,0.022319129825851648,"899,92,757,535,814,110,120,388,875,819,657,753,647,322,687,836,933,417,879,920","0.178,0.163,0.161,0.156,0.155,0.153,0.152,0.151,0.151,0.149,0.148,0.147,0.147,0.146,0.145,0.144,0.141,0.14,0.14,0.139"
8,anova,0.7941107243700904,0.02371457061923763,"933,388,676,938,110,189,92,753,803,167,836,173,391,461,757,322,417,726,766,668","1.0,0.982,0.889,0.886,0.839,0.815,0.812,0.729,0.714,0.687,0.682,0.678,0.652,0.587,0.577,0.573,0.502,0.473,0.473,0.448"
