,score,features_number,model
1149,0.0,5,melif
1150,0.0,6,pmelif
1151,0.0,6,melif
1152,0.0,7,pmelif
1153,0.0,7,melif
1154,0.0,8,pmelif
1155,0.0,8,melif
1156,0.0,9,pmelif
1157,0.0,9,melif
1158,0.0,10,pmelif
1159,0.0,10,melif
1160,0.0,1,pmelif
1161,0.0,1,melif
1162,0.0,2,pmelif
1163,0.0,2,melif
1164,0.0,3,pmelif
1165,0.0,3,melif
1166,0.0,4,pmelif
1167,0.0,4,melif
1168,0.0,5,pmelif
1169,0.0,5,melif
1170,0.0,6,pmelif
1171,0.0,6,melif
1172,0.0,7,pmelif
1173,0.0,7,melif
1174,0.1,8,pmelif
1175,0.1,8,melif
1176,0.1,9,pmelif
1177,0.1,9,melif
1178,0.1,10,pmelif
1179,0.1,10,melif
1180,0.0,1,pmelif
1181,0.0,1,melif
1182,0.0,2,pmelif
1183,0.0,2,melif
1184,0.1,3,pmelif
1185,0.1,3,melif
1186,0.1,4,pmelif
1187,0.1,4,melif
1188,0.1,5,pmelif
1189,0.1,5,melif
1190,0.1,6,pmelif
1191,0.1,6,melif
1192,0.1,7,pmelif
1193,0.1,7,melif
1194,0.2,8,pmelif
1195,0.2,8,melif
1196,0.2,9,pmelif
1197,0.2,9,melif
1198,0.2,10,pmelif
1199,0.2,10,melif
1200,0.0,1,pmelif
1201,0.0,1,melif
1202,0.0,2,pmelif
1203,0.0,2,melif
1204,0.0,3,pmelif
1205,0.0,3,melif
1206,0.0,4,pmelif
1207,0.0,4,melif
1208,0.0,5,pmelif
1209,0.0,5,melif
1210,0.0,6,pmelif
1211,0.0,6,melif
1212,0.0,7,pmelif
1213,0.0,7,melif
1214,0.0,8,pmelif
1215,0.0,8,melif
1216,0.0,9,pmelif
1217,0.0,9,melif
1218,0.0,10,pmelif
1219,0.0,10,melif
1220,0.0,1,pmelif
1221,0.0,1,melif
1222,0.0,2,pmelif
1223,0.0,2,melif
1224,0.0,3,pmelif
1225,0.0,3,melif
1226,0.0,4,pmelif
1227,0.0,4,melif
1228,0.0,5,pmelif
1229,0.0,5,melif
1230,0.0,6,pmelif
1231,0.0,6,melif
1232,0.0,7,pmelif
1233,0.0,7,melif
1234,0.0,8,pmelif
1235,0.0,8,melif
1236,0.0,9,pmelif
1237,0.0,9,melif
1238,0.0,10,pmelif
1239,0.0,10,melif
1240,0.0,1,pmelif
1241,0.0,1,melif
1242,0.0,2,pmelif
1243,0.0,2,melif
1244,0.0,3,pmelif
1245,0.0,3,melif
1246,0.0,4,pmelif
1247,0.0,4,melif
1248,0.1,5,pmelif
1249,0.1,5,melif
1250,0.1,6,pmelif
1251,0.1,6,melif
1252,0.1,7,pmelif
1253,0.1,7,melif
1254,0.1,8,pmelif
1255,0.1,8,melif
1256,0.1,9,pmelif
1257,0.1,9,melif
1258,0.1,10,pmelif
1259,0.1,10,melif
1260,0.0,1,pmelif
1261,0.0,1,melif
1262,0.0,2,pmelif
1263,0.0,2,melif
1264,0.0,3,pmelif
1265,0.0,3,melif
1266,0.0,4,pmelif
1267,0.0,4,melif
1268,0.0,5,pmelif
1269,0.0,5,melif
1270,0.0,6,pmelif
1271,0.0,6,melif
1272,0.0,7,pmelif
1273,0.0,7,melif
1274,0.0,8,pmelif
1275,0.0,8,melif
1276,0.0,9,pmelif
1277,0.0,9,melif
1278,0.0,10,pmelif
1279,0.0,10,melif
1280,0.0,1,pmelif
1281,0.0,1,melif
1282,0.0,2,pmelif
1283,0.0,2,melif
1284,0.0,3,pmelif
1285,0.0,3,melif
1286,0.0,4,pmelif
1287,0.0,4,melif
1288,0.0,5,pmelif
1289,0.0,5,melif
1290,0.0,6,pmelif
1291,0.0,6,melif
1292,0.0,7,pmelif
1293,0.0,7,melif
1294,0.0,8,pmelif
1295,0.0,8,melif
1296,0.0,9,pmelif
1297,0.0,9,melif
1298,0.0,10,pmelif
1299,0.0,10,melif
1300,0.0,1,pmelif
1301,0.0,1,melif
1302,0.0,2,pmelif
1303,0.0,2,melif
1304,0.0,3,pmelif
1305,0.0,3,melif
1306,0.0,4,pmelif
1307,0.0,4,melif
1308,0.0,5,pmelif
1309,0.0,5,melif
1310,0.0,6,pmelif
1311,0.0,6,melif
1312,0.0,7,pmelif
1313,0.0,7,melif
1314,0.0,8,pmelif
1315,0.0,8,melif
1316,0.0,9,pmelif
1317,0.0,9,melif
1318,0.0,10,pmelif
1319,0.0,10,melif
1320,0.0,1,pmelif
1321,0.0,1,melif
1322,0.0,2,pmelif
1323,0.0,2,melif
1324,0.0,3,pmelif
1325,0.0,3,melif
1326,0.0,4,pmelif
1327,0.0,4,melif
1328,0.0,5,pmelif
1329,0.0,5,melif
1330,0.0,6,pmelif
1331,0.0,6,melif
1332,0.0,7,pmelif
1333,0.0,7,melif
1334,0.0,8,pmelif
1335,0.0,8,melif
1336,0.0,9,pmelif
1337,0.0,9,melif
1338,0.0,10,pmelif
1339,0.0,10,melif
1340,0.0,1,pmelif
1341,0.0,1,melif
1342,0.0,2,pmelif
1343,0.0,2,melif
1344,0.0,3,pmelif
1345,0.0,3,melif
1346,0.0,4,pmelif
1347,0.0,4,melif
1348,0.0,5,pmelif
1349,0.0,5,melif
1350,0.0,6,pmelif
1351,0.0,6,melif
1352,0.0,7,pmelif
1353,0.0,7,melif
1354,0.0,8,pmelif
1355,0.0,8,melif
1356,0.0,9,pmelif
1357,0.0,9,melif
1358,0.0,10,pmelif
1359,0.0,10,melif
1360,0.0,1,pmelif
1361,0.0,1,melif
1362,0.0,2,pmelif
1363,0.0,2,melif
1364,0.0,3,pmelif
1365,0.0,3,melif
1366,0.0,4,pmelif
1367,0.0,4,melif
1368,0.0,5,pmelif
1369,0.0,5,melif
1370,0.0,6,pmelif
1371,0.0,6,melif
1372,0.0,7,pmelif
1373,0.0,7,melif
1374,0.0,8,pmelif
1375,0.0,8,melif
1376,0.0,9,pmelif
1377,0.0,9,melif
1378,0.0,10,pmelif
1379,0.0,10,melif
1380,0.0,1,pmelif
1381,0.0,1,melif
1382,0.0,2,pmelif
1383,0.0,2,melif
1384,0.0,3,pmelif
1385,0.0,3,melif
1386,0.0,4,pmelif
1387,0.0,4,melif
1388,0.0,5,pmelif
1389,0.0,5,melif
1390,0.0,6,pmelif
1391,0.0,6,melif
1392,0.0,7,pmelif
1393,0.0,7,melif
1394,0.0,8,pmelif
1395,0.0,8,melif
1396,0.0,9,pmelif
1397,0.0,9,melif
1398,0.0,10,pmelif
1399,0.0,10,melif
1400,0.0,1,pmelif
1401,0.0,1,melif
1402,0.0,2,pmelif
1403,0.0,2,melif
1404,0.0,3,pmelif
1405,0.0,3,melif
1406,0.0,4,pmelif
1407,0.0,4,melif
1408,0.0,5,pmelif
1409,0.0,5,melif
1410,0.0,6,pmelif
1411,0.0,6,melif
1412,0.0,7,pmelif
1413,0.0,7,melif
1414,0.0,8,pmelif
1415,0.0,8,melif
1416,0.1,9,pmelif
1417,0.1,9,melif
1418,0.1,10,pmelif
1419,0.1,10,melif
1420,0.0,1,pmelif
1421,0.0,1,melif
1422,0.0,2,pmelif
1423,0.0,2,melif
1424,0.0,3,pmelif
1425,0.0,3,melif
1426,0.0,4,pmelif
1427,0.0,4,melif
1428,0.0,5,pmelif
1429,0.0,5,melif
1430,0.0,6,pmelif
1431,0.0,6,melif
1432,0.0,7,pmelif
1433,0.0,7,melif
1434,0.1,8,pmelif
1435,0.1,8,melif
1436,0.1,9,pmelif
1437,0.1,9,melif
1438,0.1,10,pmelif
1439,0.1,10,melif
1440,0.0,1,pmelif
1441,0.0,1,melif
1442,0.0,2,pmelif
1443,0.0,2,melif
1444,0.0,3,pmelif
1445,0.0,3,melif
1446,0.0,4,pmelif
1447,0.0,4,melif
1448,0.0,5,pmelif
1449,0.0,5,melif
1450,0.0,6,pmelif
1451,0.0,6,melif
1452,0.0,7,pmelif
1453,0.0,7,melif
1454,0.0,8,pmelif
1455,0.0,8,melif
1456,0.0,9,pmelif
1457,0.0,9,melif
1458,0.0,10,pmelif
1459,0.0,10,melif
1460,0.0,1,pmelif
1461,0.0,1,melif
1462,0.0,2,pmelif
1463,0.0,2,melif
1464,0.0,3,pmelif
1465,0.0,3,melif
1466,0.0,4,pmelif
1467,0.0,4,melif
1468,0.0,5,pmelif
1469,0.0,5,melif
1470,0.0,6,pmelif
1471,0.0,6,melif
1472,0.0,7,pmelif
1473,0.0,7,melif
1474,0.0,8,pmelif
1475,0.0,8,melif
1476,0.0,9,pmelif
1477,0.0,9,melif
1478,0.0,10,pmelif
1479,0.0,10,melif
1480,0.0,1,pmelif
1481,0.0,1,melif
1482,0.0,2,pmelif
1483,0.0,2,melif
1484,0.0,3,pmelif
1485,0.0,3,melif
1486,0.0,4,pmelif
1487,0.0,4,melif
1488,0.0,5,pmelif
1489,0.0,5,melif
1490,0.0,6,pmelif
1491,0.0,6,melif
1492,0.0,7,pmelif
1493,0.0,7,melif
1494,0.0,8,pmelif
1495,0.0,8,melif
1496,0.0,9,pmelif
1497,0.0,9,melif
1498,0.0,10,pmelif
1499,0.0,10,melif
1500,0.0,1,pmelif
1501,0.0,1,melif
1502,0.0,2,pmelif
1503,0.0,2,melif
1504,0.0,3,pmelif
1505,0.0,3,melif
1506,0.0,4,pmelif
1507,0.0,4,melif
1508,0.0,5,pmelif
1509,0.0,5,melif
1510,0.0,6,pmelif
1511,0.0,6,melif
1512,0.0,7,pmelif
1513,0.0,7,melif
1514,0.0,8,pmelif
1515,0.0,8,melif
1516,0.0,9,pmelif
1517,0.0,9,melif
1518,0.0,10,pmelif
1519,0.0,10,melif
1520,0.0,1,pmelif
1521,0.0,1,melif
1522,0.0,2,pmelif
1523,0.0,2,melif
1524,0.0,3,pmelif
1525,0.0,3,melif
1526,0.0,4,pmelif
1527,0.0,4,melif
1528,0.0,5,pmelif
1529,0.0,5,melif
1530,0.0,6,pmelif
1531,0.0,6,melif
1532,0.0,7,pmelif
1533,0.0,7,melif
1534,0.0,8,pmelif
1535,0.0,8,melif
1536,0.0,9,pmelif
1537,0.0,9,melif
1538,0.0,10,pmelif
1539,0.0,10,melif
1540,0.0,1,pmelif
1541,0.0,1,melif
1542,0.0,2,pmelif
1543,0.0,2,melif
1544,0.0,3,pmelif
1545,0.0,3,melif
1546,0.0,4,pmelif
1547,0.0,4,melif
1548,0.0,5,pmelif
1549,0.0,5,melif
1550,0.0,6,pmelif
1551,0.0,6,melif
1552,0.0,7,pmelif
1553,0.0,7,melif
1554,0.0,8,pmelif
1555,0.0,8,melif
1556,0.0,9,pmelif
1557,0.0,9,melif
1558,0.0,10,pmelif
1559,0.0,10,melif
1560,0.0,1,pmelif
1561,0.0,1,melif
1562,0.0,2,pmelif
1563,0.0,2,melif
1564,0.0,3,pmelif
1565,0.0,3,melif
1566,0.0,4,pmelif
1567,0.0,4,melif
1568,0.0,5,pmelif
1569,0.0,5,melif
1570,0.0,6,pmelif
1571,0.0,6,melif
1572,0.0,7,pmelif
1573,0.0,7,melif
1574,0.0,8,pmelif
1575,0.0,8,melif
1576,0.0,9,pmelif
1577,0.0,9,melif
1578,0.0,10,pmelif
1579,0.0,10,melif
1580,0.0,1,pmelif
1581,0.0,1,melif
1582,0.0,2,pmelif
1583,0.0,2,melif
1584,0.0,3,pmelif
1585,0.0,3,melif
1586,0.0,4,pmelif
1587,0.0,4,melif
1588,0.0,5,pmelif
1589,0.0,5,melif
1590,0.0,6,pmelif
1591,0.0,6,melif
1592,0.0,7,pmelif
1593,0.0,7,melif
1594,0.0,8,pmelif
1595,0.0,8,melif
1596,0.0,9,pmelif
1597,0.0,9,melif
1598,0.0,10,pmelif
1599,0.0,10,melif
1600,0.0,1,pmelif
1601,0.0,1,melif
1602,0.0,2,pmelif
1603,0.0,2,melif
1604,0.0,3,pmelif
1605,0.0,3,melif
1606,0.0,4,pmelif
1607,0.0,4,melif
1608,0.0,5,pmelif
1609,0.0,5,melif
1610,0.0,6,pmelif
1611,0.0,6,melif
1612,0.0,7,pmelif
1613,0.0,7,melif
1614,0.0,8,pmelif
1615,0.0,8,melif
1616,0.0,9,pmelif
1617,0.0,9,melif
1618,0.0,10,pmelif
1619,0.0,10,melif
1620,0.0,1,pmelif
1621,0.0,1,melif
1622,0.0,2,pmelif
1623,0.0,2,melif
1624,0.0,3,pmelif
1625,0.0,3,melif
1626,0.0,4,pmelif
1627,0.0,4,melif
1628,0.0,5,pmelif
1629,0.0,5,melif
1630,0.0,6,pmelif
1631,0.0,6,melif
1632,0.0,7,pmelif
1633,0.0,7,melif
1634,0.0,8,pmelif
1635,0.0,8,melif
1636,0.0,9,pmelif
1637,0.0,9,melif
1638,0.0,10,pmelif
1639,0.0,10,melif
1640,0.0,1,pmelif
1641,0.0,1,melif
1642,0.0,2,pmelif
1643,0.0,2,melif
1644,0.0,3,pmelif
1645,0.0,3,melif
1646,0.0,4,pmelif
1647,0.0,4,melif
1648,0.0,5,pmelif
1649,0.0,5,melif
1650,0.0,6,pmelif
1651,0.0,6,melif
1652,0.0,7,pmelif
1653,0.0,7,melif
1654,0.0,8,pmelif
1655,0.0,8,melif
1656,0.0,9,pmelif
1657,0.0,9,melif
1658,0.0,10,pmelif
1659,0.0,10,melif
1660,0.0,1,pmelif
1661,0.0,1,melif
1662,0.0,2,pmelif
1663,0.0,2,melif
1664,0.0,3,pmelif
1665,0.0,3,melif
1666,0.0,4,pmelif
1667,0.0,4,melif
1668,0.0,5,pmelif
1669,0.0,5,melif
1670,0.0,6,pmelif
1671,0.0,6,melif
1672,0.1,7,pmelif
1673,0.1,7,melif
1674,0.1,8,pmelif
1675,0.1,8,melif
1676,0.1,9,pmelif
1677,0.1,9,melif
1678,0.1,10,pmelif
1679,0.1,10,melif
1680,0.0,1,pmelif
1681,0.0,1,melif
1682,0.0,2,pmelif
1683,0.0,2,melif
1684,0.0,3,pmelif
1685,0.0,3,melif
1686,0.0,4,pmelif
1687,0.0,4,melif
1688,0.0,5,pmelif
1689,0.0,5,melif
1690,0.0,6,pmelif
1691,0.0,6,melif
1692,0.0,7,pmelif
1693,0.0,7,melif
1694,0.0,8,pmelif
1695,0.0,8,melif
1696,0.0,9,pmelif
1697,0.0,9,melif
1698,0.0,10,pmelif
1699,0.0,10,melif
1700,0.0,1,pmelif
1701,0.0,1,melif
1702,0.0,2,pmelif
1703,0.0,2,melif
1704,0.0,3,pmelif
1705,0.0,3,melif
1706,0.0,4,pmelif
1707,0.0,4,melif
1708,0.1,5,pmelif
1709,0.1,5,melif
1710,0.1,6,pmelif
1711,0.1,6,melif
1712,0.1,7,pmelif
1713,0.1,7,melif
1714,0.1,8,pmelif
1715,0.1,8,melif
1716,0.1,9,pmelif
1717,0.1,9,melif
1718,0.1,10,pmelif
1719,0.1,10,melif
1720,0.0,1,pmelif
1721,0.0,1,melif
1722,0.0,2,pmelif
1723,0.0,2,melif
1724,0.0,3,pmelif
1725,0.0,3,melif
1726,0.0,4,pmelif
1727,0.0,4,melif
1728,0.0,5,pmelif
1729,0.0,5,melif
1730,0.0,6,pmelif
1731,0.0,6,melif
1732,0.0,7,pmelif
1733,0.0,7,melif
1734,0.0,8,pmelif
1735,0.0,8,melif
1736,0.0,9,pmelif
1737,0.0,9,melif
1738,0.0,10,pmelif
1739,0.0,10,melif
1740,0.0,1,pmelif
1741,0.0,1,melif
1742,0.0,2,pmelif
1743,0.0,2,melif
1744,0.0,3,pmelif
1745,0.0,3,melif
1746,0.0,4,pmelif
1747,0.0,4,melif
1748,0.0,5,pmelif
1749,0.0,5,melif
1750,0.0,6,pmelif
1751,0.0,6,melif
1752,0.1,7,pmelif
1753,0.1,7,melif
1754,0.1,8,pmelif
1755,0.1,8,melif
1756,0.1,9,pmelif
1757,0.1,9,melif
1758,0.1,10,pmelif
1759,0.1,10,melif
1760,0.0,1,pmelif
1761,0.0,1,melif
1762,0.0,2,pmelif
1763,0.0,2,melif
1764,0.0,3,pmelif
1765,0.0,3,melif
1766,0.0,4,pmelif
1767,0.0,4,melif
1768,0.0,5,pmelif
1769,0.0,5,melif
1770,0.0,6,pmelif
1771,0.0,6,melif
1772,0.0,7,pmelif
1773,0.0,7,melif
1774,0.0,8,pmelif
1775,0.0,8,melif
1776,0.0,9,pmelif
1777,0.0,9,melif
1778,0.0,10,pmelif
1779,0.0,10,melif
1780,0.0,1,pmelif
1781,0.0,1,melif
1782,0.0,2,pmelif
1783,0.0,2,melif
1784,0.0,3,pmelif
1785,0.0,3,melif
1786,0.0,4,pmelif
1787,0.0,4,melif
1788,0.0,5,pmelif
1789,0.0,5,melif
1790,0.0,6,pmelif
1791,0.0,6,melif
1792,0.0,7,pmelif
1793,0.0,7,melif
1794,0.0,8,pmelif
1795,0.0,8,melif
1796,0.0,9,pmelif
1797,0.0,9,melif
1798,0.0,10,pmelif
1799,0.0,10,melif
1800,0.0,1,pmelif
1801,0.0,1,melif
1802,0.0,2,pmelif
1803,0.0,2,melif
1804,0.0,3,pmelif
1805,0.0,3,melif
1806,0.0,4,pmelif
1807,0.0,4,melif
1808,0.0,5,pmelif
1809,0.0,5,melif
1810,0.0,6,pmelif
1811,0.0,6,melif
1812,0.0,7,pmelif
1813,0.0,7,melif
1814,0.0,8,pmelif
1815,0.0,8,melif
1816,0.0,9,pmelif
1817,0.0,9,melif
1818,0.0,10,pmelif
1819,0.0,10,melif
1820,0.0,1,pmelif
1821,0.0,1,melif
1822,0.0,2,pmelif
1823,0.0,2,melif
1824,0.0,3,pmelif
1825,0.0,3,melif
1826,0.0,4,pmelif
1827,0.0,4,melif
1828,0.0,5,pmelif
1829,0.0,5,melif
1830,0.0,6,pmelif
1831,0.0,6,melif
1832,0.0,7,pmelif
1833,0.0,7,melif
1834,0.0,8,pmelif
1835,0.0,8,melif
1836,0.0,9,pmelif
1837,0.0,9,melif
1838,0.0,10,pmelif
1839,0.0,10,melif
1840,0.0,1,pmelif
1841,0.0,1,melif
1842,0.0,2,pmelif
1843,0.0,2,melif
1844,0.0,3,pmelif
1845,0.0,3,melif
1846,0.0,4,pmelif
1847,0.0,4,melif
1848,0.0,5,pmelif
1849,0.0,5,melif
1850,0.0,6,pmelif
1851,0.0,6,melif
1852,0.0,7,pmelif
1853,0.0,7,melif
1854,0.0,8,pmelif
1855,0.0,8,melif
1856,0.0,9,pmelif
1857,0.0,9,melif
1858,0.0,10,pmelif
1859,0.0,10,melif
1860,0.0,1,pmelif
1861,0.0,1,melif
1862,0.0,2,pmelif
1863,0.0,2,melif
1864,0.0,3,pmelif
1865,0.0,3,melif
1866,0.0,4,pmelif
1867,0.0,4,melif
1868,0.0,5,pmelif
1869,0.0,5,melif
1870,0.0,6,pmelif
1871,0.0,6,melif
1872,0.0,7,pmelif
1873,0.0,7,melif
1874,0.0,8,pmelif
1875,0.0,8,melif
1876,0.0,9,pmelif
1877,0.0,9,melif
1878,0.0,10,pmelif
1879,0.0,10,melif
1880,0.0,1,pmelif
1881,0.0,1,melif
1882,0.0,2,pmelif
1883,0.0,2,melif
1884,0.0,3,pmelif
1885,0.0,3,melif
1886,0.0,4,pmelif
1887,0.0,4,melif
1888,0.0,5,pmelif
1889,0.0,5,melif
1890,0.0,6,pmelif
1891,0.0,6,melif
1892,0.0,7,pmelif
1893,0.0,7,melif
1894,0.0,8,pmelif
1895,0.0,8,melif
1896,0.0,9,pmelif
1897,0.0,9,melif
1898,0.0,10,pmelif
1899,0.0,10,melif
1900,0.0,1,pmelif
1901,0.0,1,melif
1902,0.0,2,pmelif
1903,0.0,2,melif
1904,0.0,3,pmelif
1905,0.0,3,melif
1906,0.0,4,pmelif
1907,0.0,4,melif
1908,0.0,5,pmelif
1909,0.0,5,melif
1910,0.0,6,pmelif
1911,0.0,6,melif
1912,0.1,7,pmelif
1913,0.1,7,melif
1914,0.1,8,pmelif
1915,0.1,8,melif
1916,0.1,9,pmelif
1917,0.1,9,melif
1918,0.1,10,pmelif
1919,0.1,10,melif
1920,0.0,1,pmelif
1921,0.0,1,melif
1922,0.0,2,pmelif
1923,0.0,2,melif
1924,0.0,3,pmelif
1925,0.0,3,melif
1926,0.0,4,pmelif
1927,0.0,4,melif
1928,0.0,5,pmelif
1929,0.0,5,melif
1930,0.0,6,pmelif
1931,0.0,6,melif
1932,0.0,7,pmelif
1933,0.0,7,melif
1934,0.1,8,pmelif
1935,0.1,8,melif
1936,0.1,9,pmelif
1937,0.1,9,melif
1938,0.1,10,pmelif
1939,0.1,10,melif
1940,0.0,1,pmelif
1941,0.0,1,melif
1942,0.0,2,pmelif
1943,0.0,2,melif
1944,0.0,3,pmelif
1945,0.0,3,melif
1946,0.0,4,pmelif
1947,0.0,4,melif
1948,0.0,5,pmelif
1949,0.0,5,melif
1950,0.0,6,pmelif
1951,0.0,6,melif
1952,0.0,7,pmelif
1953,0.0,7,melif
1954,0.0,8,pmelif
1955,0.0,8,melif
1956,0.0,9,pmelif
1957,0.0,9,melif
1958,0.0,10,pmelif
1959,0.0,10,melif
1960,0.0,1,pmelif
1961,0.0,1,melif
1962,0.0,2,pmelif
1963,0.0,2,melif
1964,0.0,3,pmelif
1965,0.0,3,melif
1966,0.0,4,pmelif
1967,0.0,4,melif
1968,0.0,5,pmelif
1969,0.0,5,melif
1970,0.0,6,pmelif
1971,0.0,6,melif
1972,0.0,7,pmelif
1973,0.0,7,melif
1974,0.0,8,pmelif
1975,0.0,8,melif
1976,0.0,9,pmelif
1977,0.0,9,melif
1978,0.0,10,pmelif
1979,0.0,10,melif
1980,0.1,1,pmelif
1981,0.1,1,melif
1982,0.1,2,pmelif
1983,0.1,2,melif
1984,0.1,3,pmelif
1985,0.1,3,melif
1986,0.1,4,pmelif
1987,0.1,4,melif
1988,0.1,5,pmelif
1989,0.1,5,melif
1990,0.1,6,pmelif
1991,0.1,6,melif
1992,0.1,7,pmelif
1993,0.1,7,melif
1994,0.1,8,pmelif
1995,0.1,8,melif
1996,0.1,9,pmelif
1997,0.1,9,melif
1998,0.1,10,pmelif
1999,0.1,10,melif
