,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.8014554876361532,0.01646669387254429,"878,10,655,13,443,841,619,809,421,487,741,337,375,761,600,30,145,774,754,595","0.117,0.116,0.114,0.113,0.106,0.104,0.101,0.101,0.098,0.097,0.096,0.094,0.093,0.092,0.092,0.091,0.091,0.091,0.091,0.09"
1,fechner,0.8001871556863632,0.012004984541956035,"655,878,13,619,421,600,10,30,741,254,443,761,413,518,43,723,748,809,841,479","0.426,0.422,0.422,0.416,0.397,0.395,0.395,0.387,0.385,0.38,0.353,0.347,0.34,0.339,0.335,0.334,0.328,0.326,0.326,0.312"
2,spearman,0.8036782129650593,0.010923047962218194,"655,878,13,10,619,421,30,741,600,254,443,761,841,809,518,723,413,43,748,754","0.493,0.49,0.49,0.468,0.467,0.453,0.45,0.442,0.441,0.429,0.428,0.408,0.404,0.395,0.386,0.382,0.378,0.373,0.363,0.356"
3,pearson,0.7967016325811889,0.013937906105076526,"655,13,878,619,10,421,600,741,30,254,443,761,841,809,518,413,43,723,748,754","0.466,0.458,0.457,0.444,0.439,0.432,0.423,0.419,0.417,0.41,0.399,0.386,0.38,0.379,0.367,0.361,0.358,0.358,0.352,0.342"
4,igain,0.7970120494050763,0.011242374089868775,"13,655,878,10,619,421,30,600,741,254,841,443,761,518,723,809,43,413,93,748","0.177,0.175,0.172,0.165,0.162,0.156,0.153,0.152,0.15,0.142,0.135,0.135,0.134,0.13,0.13,0.126,0.123,0.123,0.118,0.117"
5,gini,0.7849666691822,0.02031012236040231,"13,655,878,619,10,421,30,600,741,254,761,518,443,723,841,43,413,809,93,748","0.152,0.149,0.145,0.14,0.138,0.135,0.133,0.132,0.129,0.125,0.114,0.114,0.113,0.112,0.112,0.109,0.108,0.104,0.102,0.102"
6,chi2,0.801137524212009,0.008818420370553467,"13,655,878,619,10,421,30,600,741,254,761,518,443,723,841,43,413,809,93,748","1.0,0.982,0.955,0.916,0.903,0.882,0.871,0.864,0.845,0.814,0.744,0.742,0.733,0.733,0.729,0.707,0.703,0.672,0.664,0.664"
7,reliefF,0.76880235453928,0.02944314731497453,"479,723,113,858,600,518,190,101,93,876,561,619,249,30,413,945,254,693,191,517","0.179,0.165,0.165,0.163,0.161,0.161,0.16,0.159,0.154,0.154,0.149,0.149,0.147,0.146,0.145,0.142,0.142,0.142,0.14,0.138"
8,anova,0.806219404824793,0.011832662517433052,"655,13,878,619,10,421,600,741,30,254,443,761,841,809,518,413,43,723,748,754","1.0,0.955,0.953,0.888,0.86,0.829,0.787,0.77,0.758,0.73,0.681,0.633,0.61,0.604,0.562,0.539,0.53,0.529,0.511,0.479"
