,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.8105563664641474,0.007913834856797263,"512,513,485,484,483,511,514,541,482,454,486,386,456,510,414,540,455,415,542,387","0.12,0.115,0.113,0.111,0.108,0.103,0.099,0.095,0.094,0.093,0.093,0.092,0.091,0.091,0.091,0.091,0.09,0.086,0.085,0.085"
1,fechner,0.8062302730890627,0.014431673722158455,"513,485,512,484,514,486,541,542,457,456,483,540,487,458,511,515,455,569,570,543","0.425,0.418,0.409,0.404,0.402,0.393,0.393,0.381,0.365,0.362,0.358,0.352,0.344,0.343,0.337,0.326,0.323,0.319,0.309,0.302"
2,spearman,0.8053628088210221,0.008608227066098456,"513,484,485,512,514,486,541,483,456,542,511,457,540,455,487,458,515,482,539,570","0.494,0.482,0.481,0.469,0.462,0.455,0.448,0.431,0.427,0.421,0.418,0.418,0.409,0.393,0.386,0.381,0.369,0.353,0.352,0.347"
3,pearson,0.7920984235105273,0.014631501565439223,"513,485,512,484,514,541,486,542,483,540,457,456,511,455,458,487,515,539,569,482","0.464,0.46,0.442,0.442,0.432,0.427,0.427,0.408,0.404,0.398,0.397,0.396,0.389,0.372,0.37,0.368,0.348,0.339,0.339,0.331"
4,igain,0.792681445995567,0.02316946728127773,"485,513,512,484,514,486,541,456,483,542,457,540,511,487,458,455,515,570,569,428","0.174,0.173,0.167,0.163,0.157,0.152,0.15,0.141,0.14,0.138,0.135,0.131,0.13,0.127,0.121,0.119,0.112,0.109,0.107,0.105"
5,gini,0.7952780168918497,0.020957754248326552,"513,485,512,484,514,486,541,456,542,457,483,540,487,511,458,455,515,570,569,543","0.148,0.148,0.139,0.139,0.136,0.133,0.13,0.121,0.12,0.118,0.116,0.113,0.11,0.109,0.107,0.1,0.098,0.096,0.093,0.092"
6,chi2,0.8073838425423439,0.016218984293446845,"513,485,512,484,514,486,541,456,542,457,483,540,487,511,458,455,515,570,569,543","1.0,1.0,0.938,0.937,0.917,0.898,0.875,0.817,0.806,0.797,0.781,0.758,0.744,0.734,0.723,0.673,0.663,0.645,0.629,0.617"
7,reliefF,0.7724860794025059,0.012239223224775069,"239,211,212,240,238,486,514,210,487,351,485,431,515,459,513,379,403,542,209,237","0.177,0.165,0.164,0.161,0.154,0.152,0.15,0.145,0.142,0.141,0.139,0.136,0.135,0.135,0.134,0.132,0.131,0.131,0.129,0.128"
8,anova,0.8039231341825002,0.016103826254956634,"513,485,512,484,514,541,486,542,483,540,457,456,511,455,458,487,515,539,569,482","1.0,0.982,0.889,0.886,0.839,0.815,0.812,0.729,0.714,0.687,0.682,0.678,0.652,0.587,0.577,0.573,0.502,0.473,0.473,0.448"
