,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.7363309365290723,0.01260609337084279,"26,16,5,8,88,9,14,6,105,29,104,103,106,45,25,90,89,7,46,17","0.168,0.155,0.154,0.154,0.154,0.154,0.154,0.154,0.153,0.153,0.153,0.153,0.152,0.151,0.151,0.149,0.149,0.146,0.146,0.145"
1,fechner,0.7357968930315135,0.013804965865746439,"26,468,978,746,658,1035,4,157,77,15,7,86,659,606,20,128,843,59,195,84","0.474,0.22,0.213,0.206,0.198,0.198,-0.197,-0.194,0.19,0.186,0.185,-0.182,0.182,0.172,-0.172,-0.172,-0.17,-0.169,0.167,-0.166"
2,spearman,0.7365968930315135,0.013703034876081798,"26,468,746,65,186,216,595,77,658,181,606,86,659,145,208,978,738,594,1035,105","0.472,0.296,0.262,0.247,-0.239,-0.238,0.227,0.225,0.221,0.217,0.216,-0.213,0.213,0.213,0.205,0.198,0.198,0.197,0.194,0.191"
3,pearson,0.7368635596981802,0.013571429945067036,"26,468,216,181,746,658,86,145,606,208,659,595,594,186,978,157,1035,1086,82,59","0.472,0.269,-0.233,0.229,0.226,0.226,-0.223,0.213,0.21,0.21,0.205,0.204,0.199,-0.199,0.198,-0.198,0.194,0.19,0.185,-0.18"
4,igain,0.6075667998224589,0.03294507312098559,"16,5,8,88,9,14,6,105,29,104,103,106,45,25,90,46,89,7,102,17","0.689,0.688,0.688,0.685,0.685,0.684,0.683,0.679,0.679,0.678,0.676,0.674,0.659,0.656,0.638,0.63,0.619,0.608,0.604,0.601"
5,gini,0.6001146915224146,0.03225654770543747,"16,5,8,88,9,14,6,105,29,104,103,106,45,25,90,46,89,7,102,17","0.496,0.495,0.495,0.493,0.493,0.492,0.492,0.489,0.489,0.488,0.487,0.485,0.475,0.473,0.461,0.455,0.446,0.438,0.436,0.435"
6,chi2,0.6419685752330226,0.026312673435500186,"16,5,8,88,9,14,6,105,29,104,103,106,45,25,90,46,89,7,102,17","1.0,0.998,0.998,0.994,0.993,0.992,0.991,0.986,0.986,0.984,0.981,0.978,0.957,0.953,0.929,0.916,0.899,0.884,0.88,0.876"
7,reliefF,0.7368635596981802,0.013571429945067036,"26,978,50,994,965,1035,959,991,969,960,972,1039,1008,1086,1055,1009,1003,1195,1038,997","0.183,0.097,0.088,0.086,0.085,0.082,0.081,0.079,0.078,0.075,0.075,0.075,0.072,0.071,0.071,0.07,0.07,0.069,0.069,0.068"
8,anova,0.7368635596981802,0.013571429945067036,"26,468,216,181,746,658,86,145,606,208,659,595,594,186,978,157,1035,1086,82,59","1.0,0.271,0.201,0.192,0.188,0.188,0.182,0.166,0.161,0.161,0.153,0.151,0.143,0.143,0.143,0.142,0.136,0.13,0.123,0.117"
