,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.5800000000000001,0.026524522537794862,"105,493,338,336,453,64,442,475,153,241,455,472,433,89,294,406,188,359,378,169","0.044,0.042,0.04,0.04,0.035,0.035,0.034,0.033,0.03,0.03,0.026,0.022,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.019"
1,fechner,0.5846153846153846,0.013706561293235003,"475,241,338,64,336,128,105,378,453,48,493,442,472,177,411,333,323,55,120,424","-0.235,-0.231,0.146,0.134,0.133,-0.112,-0.112,-0.094,0.092,-0.092,0.089,0.07,0.07,-0.063,0.057,-0.056,0.053,0.05,-0.049,-0.049"
2,spearman,0.5811538461538461,0.0415206514525172,"241,475,336,64,338,128,105,48,378,472,442,453,493,323,55,285,424,243,10,496","-0.232,-0.229,0.175,0.173,0.15,-0.134,-0.13,-0.108,-0.102,0.099,0.099,0.086,0.086,0.07,0.057,0.057,-0.056,0.055,0.053,0.052"
3,pearson,0.5903846153846154,0.02600068274023933,"475,241,336,64,338,128,105,442,472,48,378,493,453,323,424,496,55,285,410,333","-0.225,-0.225,0.16,0.159,0.13,-0.125,-0.121,0.107,0.107,-0.107,-0.101,0.084,0.083,0.069,-0.059,0.058,0.055,0.054,0.05,-0.05"
4,igain,0.5853846153846154,0.047083584244675375,"105,493,336,338,453,64,442,475,153,241,455,433,472,89,294,378,188,406,359,169","0.15,0.144,0.133,0.133,0.117,0.113,0.112,0.105,0.098,0.088,0.082,0.066,0.064,0.06,0.06,0.059,0.057,0.057,0.057,0.056"
5,gini,0.5903846153846154,0.024925925763107128,"105,493,338,336,453,442,64,475,153,241,455,433,472,378,294,89,359,169,188,194","0.12,0.117,0.11,0.109,0.097,0.094,0.093,0.089,0.083,0.078,0.071,0.058,0.055,0.052,0.052,0.051,0.05,0.05,0.05,0.049"
6,chi2,0.573076923076923,0.029467663552889187,"105,493,338,336,453,442,64,475,153,241,455,433,472,378,294,89,359,169,188,194","1.0,0.975,0.917,0.906,0.807,0.779,0.773,0.743,0.691,0.65,0.588,0.477,0.456,0.431,0.431,0.423,0.413,0.409,0.409,0.402"
7,reliefF,0.546923076923077,0.044780860239470414,"475,378,241,48,472,442,338,318,28,281,153,433,451,493,128,453,105,64,336,247","0.026,0.025,0.025,0.024,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,-0.01"
8,anova,0.5742307692307692,0.02022799044969956,"475,241,336,64,338,128,105,442,472,48,378,493,453,323,424,496,55,285,410,333","1.0,0.994,0.488,0.484,0.32,0.296,0.278,0.218,0.216,0.214,0.191,0.132,0.13,0.09,0.065,0.062,0.056,0.055,0.046,0.046"
