,filter_name,mean_score,std_score,joined_features,joined_scores
0,su,0.5761146496815286,0.03868345370636864,"183,85,178,191,162,252,197,237,83,163,185,232,158,76,50,52,102,226,184,218","0.04,0.036,0.035,0.03,0.03,0.03,0.029,0.028,0.024,0.022,0.02,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016"
1,fechner,0.5605095541401275,0.036450710644138844,"191,237,85,252,178,184,183,52,135,197,185,162,147,140,142,16,213,203,219,25","0.246,0.243,-0.157,-0.133,-0.132,0.115,0.115,0.104,0.103,-0.098,-0.078,-0.077,0.052,-0.05,0.048,-0.043,-0.041,-0.041,-0.04,-0.04"
2,spearman,0.6175159235668789,0.03826165068234306,"237,191,178,252,85,184,183,135,52,185,162,197,140,213,219,203,33,113,245,190","0.238,0.235,-0.173,-0.172,-0.153,0.133,0.13,0.114,0.108,-0.103,-0.103,-0.089,-0.057,-0.053,-0.049,-0.042,-0.042,0.042,-0.042,-0.041"
3,pearson,0.5859872611464969,0.015072814734011758,"237,191,252,178,85,184,183,135,162,185,52,197,140,213,219,94,89,118,113,238","0.231,0.231,-0.158,-0.157,-0.134,0.125,0.122,0.114,-0.111,-0.11,0.108,-0.085,-0.05,-0.048,-0.048,-0.047,-0.044,-0.043,0.043,0.042"
4,igain,0.5646496815286624,0.039051391225399565,"183,85,178,162,197,252,191,237,83,163,185,232,52,158,76,50,102,226,195,216","0.137,0.119,0.116,0.098,0.098,0.097,0.095,0.084,0.077,0.07,0.058,0.055,0.051,0.051,0.05,0.05,0.049,0.049,0.046,0.046"
5,gini,0.6041401273885352,0.019647384477945472,"183,85,178,162,197,191,252,237,83,163,185,232,52,158,76,50,226,102,195,217","0.112,0.1,0.097,0.083,0.083,0.083,0.081,0.076,0.067,0.061,0.05,0.049,0.046,0.044,0.044,0.043,0.043,0.042,0.041,0.04"
6,chi2,0.5824840764331211,0.044715462596702824,"183,85,178,162,197,191,252,237,83,163,185,232,52,158,76,50,226,102,195,217","1.0,0.898,0.87,0.746,0.741,0.74,0.725,0.676,0.596,0.546,0.445,0.432,0.404,0.393,0.392,0.384,0.383,0.372,0.362,0.358"
7,reliefF,0.571656050955414,0.048056470089016395,"52,135,191,237,197,239,37,74,184,70,183,83,178,232,85,162,185,252,163,223","0.037,0.037,0.028,0.028,0.023,0.023,0.022,0.022,0.021,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.016,-0.008"
8,anova,0.5863057324840765,0.011804938212006762,"237,191,252,178,85,184,183,135,162,185,52,197,140,213,219,94,89,118,113,238","1.0,1.0,0.453,0.447,0.325,0.283,0.27,0.234,0.222,0.219,0.209,0.131,0.045,0.041,0.041,0.039,0.035,0.033,0.033,0.031"
